SOA_NAME,SOA_CODE,All_persons,Males,Females,Lives_in_household,Lives_in_communal,Males_pct,Females_pct,Household_pct,Communal_pct,CENSUS_YEAR
Andersonstown 1,95GG01S1,2085,986,1099,2085,0,47.29,52.71,100.00,0.00,2001
Andersonstown 2,95GG01S2,1783,832,951,1711,72,46.66,53.34,95.96,4.04,2001
Andersonstown 3,95GG01S3,1896,887,1009,1896,0,46.78,53.22,100.00,0.00,2001
Ardoyne 1,95GG02S1,2318,1067,1251,2318,0,46.03,53.97,100.00,0.00,2001
Ardoyne 2,95GG02S2,2230,1070,1160,2230,0,47.98,52.02,100.00,0.00,2001
Ardoyne 3,95GG02S3,2054,900,1154,2054,0,43.82,56.18,100.00,0.00,2001
Ballyhackamore 1,95GG03S1,1950,913,1037,1911,39,46.82,53.18,98.00,2.00,2001
Ballyhackamore 2,95GG03S2,1881,867,1014,1881,0,46.09,53.91,100.00,0.00,2001
Ballyhackamore 3,95GG03S3,1862,873,989,1831,31,46.89,53.11,98.34,1.66,2001
Ballymacarrett 1,95GG04S1,1733,783,950,1711,22,45.18,54.82,98.73,1.27,2001
Ballymacarrett 2,95GG04S2,1665,767,898,1665,0,46.07,53.93,100.00,0.00,2001
Ballymacarrett 3,95GG04S3,1544,710,834,1544,0,45.98,54.02,100.00,0.00,2001
Ballynafeigh 1,95GG05S1,1617,771,846,1575,42,47.68,52.32,97.40,2.60,2001
Ballynafeigh 2,95GG05S2,1887,859,1028,1887,0,45.52,54.48,100.00,0.00,2001
Ballynafeigh 3,95GG05S3,1747,813,934,1747,0,46.54,53.46,100.00,0.00,2001
Ballysillan 1,95GG06S1,2041,944,1097,2016,25,46.25,53.75,98.78,1.22,2001
Ballysillan 2,95GG06S2,2024,952,1072,2024,0,47.04,52.96,100.00,0.00,2001
Ballysillan 3,95GG06S3,1955,885,1070,1955,0,45.27,54.73,100.00,0.00,2001
Beechmount 1,95GG07S1,1900,865,1035,1891,9,45.53,54.47,99.53,0.47,2001
Beechmount 2,95GG07S2,1695,790,905,1587,108,46.61,53.39,93.63,6.37,2001
Beechmount 3,95GG07S3,1909,899,1010,1909,0,47.09,52.91,100.00,0.00,2001
Bellevue 1,95GG08S1,1531,749,782,1531,0,48.92,51.08,100.00,0.00,2001
Bellevue 2,95GG08S2,1861,861,1000,1861,0,46.27,53.73,100.00,0.00,2001
Bellevue 3,95GG08S3,1550,734,816,1550,0,47.35,52.65,100.00,0.00,2001
Belmont 1,95GG09S1,2009,935,1074,1927,82,46.54,53.46,95.92,4.08,2001
Belmont 2,95GG09S2,1921,918,1003,1879,42,47.79,52.21,97.81,2.19,2001
Belmont 3,95GG09S3,2095,986,1109,2086,9,47.06,52.94,99.57,0.43,2001
Blackstaff 1,95GG10S1,1983,984,999,1983,0,49.62,50.38,100.00,0.00,2001
Blackstaff 2,95GG10S2,1981,926,1055,1981,0,46.74,53.26,100.00,0.00,2001
Bloomfield 1,95GG11S1,1841,839,1002,1841,0,45.57,54.43,100.00,0.00,2001
Bloomfield 2,95GG11S2,1803,883,920,1739,64,48.97,51.03,96.45,3.55,2001
Bloomfield 3,95GG11S3,1893,880,1013,1881,12,46.49,53.51,99.37,0.63,2001
Botanic 1,95GG12S1,1899,867,1032,1412,487,45.66,54.34,74.35,25.65,2001
Botanic 2,95GG12S2,2030,872,1158,2030,0,42.96,57.04,100.00,0.00,2001
Botanic 3,95GG12S3,1759,777,982,1753,6,44.17,55.83,99.66,0.34,2001
Botanic 4,95GG12S4,2070,1040,1030,1840,230,50.24,49.76,88.89,11.11,2001
Botanic 5,95GG12S5,1814,823,991,1814,0,45.37,54.63,100.00,0.00,2001
Castleview 1,95GG13S1,1626,770,856,1614,12,47.36,52.64,99.26,0.74,2001
Castleview 2,95GG13S2,1673,803,870,1641,32,48.00,52.00,98.09,1.91,2001
Castleview 3,95GG13S3,1579,712,867,1579,0,45.09,54.91,100.00,0.00,2001
Cavehill 1,95GG14S1,1763,830,933,1763,0,47.08,52.92,100.00,0.00,2001
Cavehill 2,95GG14S2,1751,855,896,1751,0,48.83,51.17,100.00,0.00,2001
Cavehill 3,95GG14S3,1768,858,910,1768,0,48.53,51.47,100.00,0.00,2001
Cherryvalley 1,95GG15S1,1967,894,1073,1822,145,45.45,54.55,92.63,7.37,2001
Cherryvalley 2,95GG15S2,1952,908,1044,1910,42,46.52,53.48,97.85,2.15,2001
Cherryvalley 3,95GG15S3,2014,905,1109,1978,36,44.94,55.06,98.21,1.79,2001
Chichester Park 1,95GG16S1,1773,856,917,1752,21,48.28,51.72,98.82,1.18,2001
Chichester Park 2,95GG16S2,1780,869,911,1742,38,48.82,51.18,97.87,2.13,2001
Chichester Park 3,95GG16S3,1556,748,808,1554,0,48.07,51.93,99.87,0.00,2001
Cliftonville 1,95GG17S1,1823,882,941,1823,0,48.38,51.62,100.00,0.00,2001
Cliftonville 2,95GG17S2,1815,891,924,1815,0,49.09,50.91,100.00,0.00,2001
Cliftonville 3,95GG17S3,1783,837,946,1779,4,46.94,53.06,99.78,0.22,2001
Clonard 1,95GG18S1,2216,1011,1205,2216,0,45.62,54.38,100.00,0.00,2001
Clonard 2,95GG18S2,2205,1073,1132,2181,24,48.66,51.34,98.91,1.09,2001
Crumlin 1,95GG19S1,2179,983,1196,2116,63,45.11,54.89,97.11,2.89,2001
Crumlin 2,95GG19S2,2197,1002,1195,2197,0,45.61,54.39,100.00,0.00,2001
Duncairn 1,95GG20S1,1915,915,1000,1859,56,47.78,52.22,97.08,2.92,2001
Duncairn 2,95GG20S2,2092,947,1145,2092,0,45.27,54.73,100.00,0.00,2001
Falls 1,95GG21S1,1697,784,913,1612,85,46.20,53.80,94.99,5.01,2001
Falls 2,95GG21S2,1743,801,942,1743,0,45.96,54.04,100.00,0.00,2001
Falls 3,95GG21S3,1606,686,920,1549,57,42.71,57.29,96.45,3.55,2001
Falls Park 1,95GG22S1,1892,845,1047,1892,0,44.66,55.34,100.00,0.00,2001
Falls Park 2,95GG22S2,2097,957,1140,2050,47,45.64,54.36,97.76,2.24,2001
Falls Park 3,95GG22S3,1899,896,1003,1887,12,47.18,52.82,99.37,0.63,2001
Finaghy 1,95GG23S1,1615,778,837,1615,0,48.17,51.83,100.00,0.00,2001
Finaghy 2,95GG23S2,1647,758,889,1647,0,46.02,53.98,100.00,0.00,2001
Finaghy 3,95GG23S3,1732,789,943,1639,93,45.55,54.45,94.63,5.37,2001
Fortwilliam 1,95GG24S1,1538,672,866,1364,174,43.69,56.31,88.69,11.31,2001
Fortwilliam 2,95GG24S2,1749,841,908,1749,0,48.08,51.92,100.00,0.00,2001
Fortwilliam 3,95GG24S3,1511,685,826,1427,84,45.33,54.67,94.44,5.56,2001
Glen Road 1,95GG25S1,1996,947,1049,1969,27,47.44,52.56,98.65,1.35,2001
Glen Road 2,95GG25S2,2074,1000,1074,2074,0,48.22,51.78,100.00,0.00,2001
Glen Road 3,95GG25S3,1802,868,934,1802,0,48.17,51.83,100.00,0.00,2001
Glencairn 1,95GG26S1,2064,991,1073,1997,67,48.01,51.99,96.75,3.25,2001
Glencairn 2,95GG26S2,1962,885,1077,1962,0,45.11,54.89,100.00,0.00,2001
Glencolin 1,95GG27S1,1652,808,844,1652,0,48.91,51.09,100.00,0.00,2001
Glencolin 2,95GG27S2,1851,883,968,1851,0,47.70,52.30,100.00,0.00,2001
Glencolin 3,95GG27S3,1754,896,858,1754,0,51.08,48.92,100.00,0.00,2001
Glencolin 4,95GG27S4,1872,891,981,1872,0,47.60,52.40,100.00,0.00,2001
Highfield 1,95GG28S1,1709,858,851,1709,0,50.20,49.80,100.00,0.00,2001
Highfield 2,95GG28S2,1779,856,923,1769,10,48.12,51.88,99.44,0.56,2001
Highfield 3,95GG28S3,1822,840,982,1822,0,46.10,53.90,100.00,0.00,2001
Island 1,95GG29S1,2018,931,1087,2018,0,46.13,53.87,100.00,0.00,2001
Island 2,95GG29S2,2262,1062,1200,2233,29,46.95,53.05,98.72,1.28,2001
Knock 1,95GG30S1,1679,786,893,1679,0,46.81,53.19,100.00,0.00,2001
Knock 2,95GG30S2,1642,799,843,1635,7,48.66,51.34,99.57,0.43,2001
Knock 3,95GG30S3,1674,815,859,1674,0,48.69,51.31,100.00,0.00,2001
Ladybrook 1,95GG31S1,2040,956,1084,2040,0,46.86,53.14,100.00,0.00,2001
Ladybrook 2,95GG31S2,2284,1130,1154,2284,0,49.47,50.53,100.00,0.00,2001
Ladybrook 3,95GG31S3,2060,997,1063,2060,0,48.40,51.60,100.00,0.00,2001
Legoniel 1,95GG32S1,1996,974,1022,1996,0,48.80,51.20,100.00,0.00,2001
Legoniel 2,95GG32S2,1724,767,957,1724,0,44.49,55.51,100.00,0.00,2001
Legoniel 3,95GG32S3,1808,836,972,1786,22,46.24,53.76,98.78,1.22,2001
Malone 1,95GG33S1,1885,908,977,1878,7,48.17,51.83,99.63,0.37,2001
Malone 2,95GG33S2,1761,831,930,1708,53,47.19,52.81,96.99,3.01,2001
Malone 3,95GG33S3,2048,935,1113,1987,61,45.65,54.35,97.02,2.98,2001
Musgrave 1,95GG34S1,1399,629,770,1399,0,44.96,55.04,100.00,0.00,2001
Musgrave 2,95GG34S2,1963,945,1018,1934,29,48.14,51.86,98.52,1.48,2001
Musgrave 3,95GG34S3,1915,908,1007,1882,33,47.42,52.58,98.28,1.72,2001
New Lodge 1,95GG35S1,1826,842,984,1815,11,46.11,53.89,99.40,0.60,2001
New Lodge 2,95GG35S2,1737,821,916,1737,0,47.27,52.73,100.00,0.00,2001
New Lodge 3,95GG35S3,1661,772,889,1661,0,46.48,53.52,100.00,0.00,2001
Orangefield 1,95GG36S1,1651,776,875,1651,0,47.00,53.00,100.00,0.00,2001
Orangefield 2,95GG36S2,1915,894,1021,1863,52,46.68,53.32,97.28,2.72,2001
Orangefield 3,95GG36S3,1930,903,1027,1930,0,46.79,53.21,100.00,0.00,2001
Ravenhill 1,95GG37S1,1895,913,982,1767,128,48.18,51.82,93.25,6.75,2001
Ravenhill 2,95GG37S2,1898,852,1046,1890,8,44.89,55.11,99.58,0.42,2001
Ravenhill 3,95GG37S3,1707,769,938,1707,0,45.05,54.95,100.00,0.00,2001
Rosetta 1,95GG38S1,1860,867,993,1823,37,46.61,53.39,98.01,1.99,2001
Rosetta 2,95GG38S2,1654,728,926,1555,99,44.01,55.99,94.01,5.99,2001
Rosetta 3,95GG38S3,1601,704,897,1598,3,43.97,56.03,99.81,0.19,2001
Shaftesbury 1,95GG39S1,1888,972,916,1818,70,51.48,48.52,96.29,3.71,2001
Shaftesbury 2,95GG39S2,1979,947,1032,1975,4,47.85,52.15,99.80,0.20,2001
Shaftesbury 3,95GG39S3,1918,843,1075,1877,41,43.95,56.05,97.86,2.14,2001
Shankill 1,95GG40S1,1806,845,961,1806,0,46.79,53.21,100.00,0.00,2001
Shankill 2,95GG40S2,1978,893,1085,1978,0,45.15,54.85,100.00,0.00,2001
Stormont 1,95GG41S1,1937,921,1016,1902,35,47.55,52.45,98.19,1.81,2001
Stormont 2,95GG41S2,1675,789,886,1614,61,47.10,52.90,96.36,3.64,2001
Stormont 3,95GG41S3,1918,895,1023,1824,94,46.66,53.34,95.10,4.90,2001
Stranmillis 1,95GG42S1,1829,889,940,1814,15,48.61,51.39,99.18,0.82,2001
Stranmillis 2,95GG42S2,1996,961,1035,548,1448,48.15,51.85,27.45,72.55,2001
Stranmillis 3,95GG42S3,1851,815,1036,1509,342,44.03,55.97,81.52,18.48,2001
Stranmillis 4,95GG42S4,1959,928,1031,1959,0,47.37,52.63,100.00,0.00,2001
Sydenham 1,95GG43S1,1604,743,861,1554,50,46.32,53.68,96.88,3.12,2001
Sydenham 2,95GG43S2,1808,849,959,1808,0,46.96,53.04,100.00,0.00,2001
Sydenham 3,95GG43S3,1823,846,977,1783,40,46.41,53.59,97.81,2.19,2001
The Mount 1,95GG44S1,2154,1059,1095,2150,4,49.16,50.84,99.81,0.19,2001
The Mount 2,95GG44S2,2105,1052,1053,2105,0,49.98,50.02,100.00,0.00,2001
Upper Malone 1,95GG45S1,1698,798,900,1667,31,47.00,53.00,98.17,1.83,2001
Upper Malone 2,95GG45S2,1625,730,895,1625,0,44.92,55.08,100.00,0.00,2001
Upper Malone 3,95GG45S3,1603,724,879,1603,0,45.17,54.83,100.00,0.00,2001
Upper Springfield 1,95GG46S1,1966,934,1032,1966,0,47.51,52.49,100.00,0.00,2001
Upper Springfield 2,95GG46S2,2059,917,1142,2046,13,44.54,55.46,99.37,0.63,2001
Upper Springfield 3,95GG46S3,1870,887,983,1870,0,47.43,52.57,100.00,0.00,2001
Water Works 1,95GG47S1,2129,1016,1113,2088,41,47.72,52.28,98.07,1.93,2001
Water Works 2,95GG47S2,2070,924,1146,1991,79,44.64,55.36,96.18,3.82,2001
Water Works 3,95GG47S3,2106,1031,1075,2098,8,48.96,51.04,99.62,0.38,2001
Whiterock 1,95GG48S1,1698,745,953,1629,69,43.88,56.12,95.94,4.06,2001
Whiterock 2,95GG48S2,1755,827,928,1713,42,47.12,52.88,97.61,2.39,2001
Whiterock 3,95GG48S3,1971,963,1008,1971,0,48.86,51.14,100.00,0.00,2001
Windsor 1,95GG49S1,1660,793,867,1476,184,47.77,52.23,88.92,11.08,2001
Windsor 2,95GG49S2,1851,927,924,1838,13,50.08,49.92,99.30,0.70,2001
Windsor 3,95GG49S3,1665,776,889,1665,0,46.61,53.39,100.00,0.00,2001
Windsor 4,95GG49S4,1911,758,1153,1891,20,39.67,60.33,98.95,1.05,2001
Woodstock 1,95GG50S1,1630,748,882,1630,0,45.89,54.11,100.00,0.00,2001
Woodstock 2,95GG50S2,1710,784,926,1710,0,45.85,54.15,100.00,0.00,2001
Woodstock 3,95GG50S3,1793,857,936,1769,24,47.80,52.20,98.66,1.34,2001
Woodvale 1,95GG51S1,1543,729,814,1543,0,47.25,52.75,100.00,0.00,2001
Woodvale 2,95GG51S2,1565,683,882,1521,44,43.64,56.36,97.19,2.81,2001
Woodvale 3,95GG51S3,1486,659,827,1486,0,44.35,55.65,100.00,0.00,2001
